/home/huawei/result/bin/numactl /home/huawei/result/bin/bench_hashjoin_mt
# started on Fri Apr  2 11:20:58 2021

19082808999,,cycles,7393449030,100.00,,
1648099027,,dTLB-loads,7357184880,100.00,,
99322160,,dTLB-load-misses,7325533440,100.00,6.03,of all dTLB cache hits
1711965613,,iTLB-loads,7293340520,100.00,,
1878,,iTLB-load-misses,7259778590,100.00,0.00,of all iTLB cache hits
1838990,,dtlb_walk,7224785380,100.00,,
3634,,itlb_walk,7189250290,100.00,,
196,,context-switches,7156574460,100.00,,
85,,cpu-migrations,7128727870,100.00,,
1,,page-faults,7101443810,100.00,,
1215084572,,mem_access,7069299620,100.00,,
9453615,,remote_access,7030295810,100.00,,
Execution Time (seconds): 0
****success****
/home/huawei/result/bin/numactl /home/huawei/result/bin/bench_hashjoin_mt
# started on Fri Apr  2 11:20:58 2021

25033158216,,cycles,9658189040,100.00,,
2374090051,,dTLB-loads,9629027010,100.00,,
145619344,,dTLB-load-misses,9604892970,100.00,6.13,of all dTLB cache hits
2469126006,,iTLB-loads,9580341530,100.00,,
3707,,iTLB-load-misses,9553608290,100.00,0.00,of all iTLB cache hits
2843722,,dtlb_walk,9528460620,100.00,,
6258,,itlb_walk,9501911610,100.00,,
222,,context-switches,9476628220,100.00,,
98,,cpu-migrations,9454975020,100.00,,
1,,page-faults,9435492140,100.00,,
1727152227,,mem_access,9410632990,100.00,,
34112624,,remote_access,9377934530,100.00,,
Execution Time (seconds): 1
****success****
